Income Bracket,Lower Limit,Upper Limit,Median,2010,2008,2005,2003,2001
   No Income,-2000,0,-1000,2512,2622,1089,2319,2074
"   Under $3,000",0,2999,1499.5,619,760,537,860,1296
"   $3,000 - 4,999",3000,4999,3999.5,728,874,459,748,778
"   $5,000 - 6,999",5000,6999,5999.5,655,760,344,785,1199
"   $7,000 - 8,999",7000,8999,7999.5,692,798,573,748,940
"   $9,000 - 10,999",9000,10999,9999.5,1347,1178,1261,1159,1102
"   $11,000 - 12,999",11000,12999,11999.5,1128,1064,917,1309,1102
"   $13,000 - 14,999",13000,14999,13999.5,1238,1330,1261,673,810
"   $15,000 - 19,999",15000,19999,17499.5,3130,3420,2350,3029,2495
"   $20,000 - 29,999",20000,29999,24999.5,5242,6346,5274,6283,5508
"   $30,000 - 39,999",30000,39999,34999.5,5569,5130,5331,4600,5314
"   $40,000 - 49,999",40000,49999,44999.5,4040,5054,4471,3927,3920
"   $50,000 - 59,999",50000,59999,54999.5,3567,3914,3497,3590,3305
"   $60,000 - 69,999",60000,69999,64999.5,3058,3078,3038,2431,2624
"   $70,000 - 79,999",70000,79999,74999.5,1966,2280,2178,2319,1717
"   $80,000 - 89,999",80000,89999,84999.5,2439,1748,1834,1272,1426
"   $90,000 - 99,999",90000,99999,94999.5,1565,1102,1720,486,1037
"   $100,000 & Above",100000,119999,109999.5,5169,4788,4127,2468,2462
