Category,Lower Limit,Upper Limit,Median,Number
   No Income,0,0,0,33306
"Under $1,000",0,999,499.5,1966
"$1,000 - 1,999",1000,1999,1499.5,1310
"$2,000 - 2,999",2000,2999,2499.5,1856
"$3 ,000 - 3,999",3000,3999,3499.5,1929
"$4,000 - 4,999",4000,4999,4499.5,2148
"$5,000 - 5,999",5000,5999,5499.5,2184
"$6,000 - 6,999",6000,6999,6499.5,2111
"$7,000 - 7,999",7000,7999,7499.5,2075
"$8,000 - 8,999",8000,8999,8499.5,1674
"$9,000 - 9,999",9000,9999,9499.5,2657
"$10,000 - 10,999",10000,10999,10499.5,2948
"$11,000 - 11,999",11000,11999,11499.5,1492
"$12,000 - 12,999",12000,12999,12499.5,2803
"$13,000 - 13,999",13000,13999,13499.5,2512
"$14,000 - 14,999",14000,14999,14499.5,2366
"$15,000 - 15,999",15000,15999,15499.5,3895
"$16,000 - 16,999",16000,16999,16499.5,2839
"$17,000 - 17,999",17000,17999,17499.5,1820
"$18,000 - 18,999",18000,18999,18499.5,1929
"$19,000 - 19,999",19000,19999,19499.5,1638
"$20,000 - 20,999",20000,20999,20499.5,2330
"$21,000 - 21,999",21000,21999,21499.5,1602
"$22,000 - 22,999",22000,22999,22499.5,1674
"$23,000 - 23,999",23000,23999,23499.5,1383
"$24,000 - 24,999",24000,24999,24499.5,2075
"$25,000 - 25,999",25000,25999,25499.5,1929
"$26,000 - 26,999",26000,26999,26499.5,1565
"$27,000 - 27,999",27000,27999,27499.5,1347
"28,000 - 28,999",28000,28999,28499.5,1456
"29,000 - 29,999",29000,29999,29499.5,1019
"30,000 - 30,999",30000,30999,30499.5,1856
"31,000 - 31,999",31000,31999,31499.5,1128
"32,000 - 32,999",32000,32999,32499.5,837
"33,000 - 33,999",33000,33999,33499.5,801
"34,000 - 34,999",34000,34999,34499.5,764
"35,000 - 35,999",35000,35999,35499.5,1602
"36,000 - 36,999",36000,36999,36499.5,1056
"37,000 - 37,999",37000,37999,37499.5,182
"38,000 - 38,999",38000,38999,38499.5,764
"39,000 - 39,999",39000,39999,39499.5,728
"40,000 - 40,999",40000,40999,40499.5,2293
"41,000 - 41,999",41000,41999,41499.5,364
"42,000 - 42,999",42000,42999,42499.5,910
"43,000 - 43,999",43000,43999,43499.5,255
"44,000 - 44,999",44000,44999,44499.5,546
"45,000 - 45,999",45000,45999,45499.5,1092
"46,000 - 46,999",46000,46999,46499.5,218
"47,000 - 47,999",47000,47999,47499.5,255
"48,000 - 48,999",48000,48999,48499.5,582
"49,000 - 49,999",49000,49999,49499.5,328
"50,000 - 59,999",50000,59999,54999.5,2584
"60,000 - 69,999",60000,69999,64999.5,2475
"70,000 - 79,999",70000,79999,74999.5,1019
"80,000 - 89,999",80000,89999,84999.5,1092
"90,000 - 99,999",90000,99999,94999.5,655
"100,000 & Above",100000,100000,100000,1492
